僕は運命って言葉が嫌いだ	我很讨厌“命运”这样的词语
生まれ 出会え 分かれ	出生 邂逅 离别
成功と失敗 人生の幸 不幸	成功与失败 人生的幸与不幸
それらが予め運命によって決められているのなら	如果说那是被赋予的命运所决定的话
僕たちは何のために生まれてくるんだろう	那我们是为了什么而诞生的呢？
裕福な家庭に生まれる人	在富裕的家庭出生的孩子
美しい母親から生まれる人	美丽的母亲所生下的孩子
飢餓や戦争の真っ只中に生まれる人	在饥饿与战争中出生的孩子
それらが全て運命だとすれば	如果那全都是命运的话
神様ってやつはとんでもなく理不尽で残酷だ	那个叫作"神"的家伙实在是蛮不讲理而残酷
あの時から 僕たちには未来なんてなく	从那时开始 我们就没有所谓的未来
ただきっと何者にも成れないってことだけははっきりしってたんだから	只是清楚地明白了自己将会一事无成的这个事实
よし	好
冠葉 ひまり	冠叶 阳毬
朝ご飯出来たよ	早餐做好了哦
いただきます	我开动了
おお 今日の朝飯頑張ったな	喔喔 今天的早餐有好好地去做呢
美味しい	好吃
うまいか ひまり	好吃吗 阳毬
うん 熱々の味噌汁なんて久しぶりだもん	嗯 因为很久没喝过暖暖的味增汤了
そうか	是吗
病院のはいつも冷めてたもんな	医院里面的都是冷掉的呢
うん でも それより	嗯 不过 说起来
晶ちゃんの味噌汁 御母さんのと同じ味がする だから	小晶的味增汤 尝起来跟妈妈做的一个味道 所以
ひまり	阳毬
だよな	对啊
晶馬は近所のスーパーの特売日全部暗記してるしさあ	晶马把附近所有超市的特价日全都记下来了呢
晶ちゃんはいいおむっこさんになるね	小晶能成为一个好新郎呢
そうかな	是吗
そうだ この卵焼きもうまいぞ	是啊 这个鸡蛋卷也很好吃啊
晶馬に秘伝のレシピを教えたら 超ジューシになってさあ	我把秘方告诉晶马之后 他就做成超多汁的了
テレビのレシピをやらせただけじゃ	只是按照电视的食谱来做而已吧
俺がお前にテレビを見ろって言ったんだから 同じだろう	是我叫你去看电视的 所以是一样的吧
秘伝はないよな	不是秘方吧
いいや 秘伝だ	不 就是秘方
何故なら 俺はテレビでは言ってなかった舐めるラー油を入れろっていっただろ\N	原因的话 我说要在里面加电视里没提到的辣油的吧\N
あれは俺のアイデアだ	那是我的主意
どうだ 驚いただろう	怎么样 惊讶吧
兄弟が医者から受けた悲しい宣告	兄弟俩从医生那里收到了令人悲伤的消息
運命だとしたらそれはあんまりじゃない	如果说这是命运的话也太…
まことに残念ですが	实在是很遗憾
現代医療の力がもはやどうにも	以现在的医疗水平来说已经是束手无策了
妹さんの余命はよくもって数か月 あるいは	运气好的话 你妹妹还会有几个月可以活吧 运气不好的话…
そんな	怎么会
ふざけんな ふざけんな	别开玩笑了 开什么玩笑啊
それが医者の言うセリフかよ	那是作为医生应该说的话吗?
冠葉	冠叶
金ならなんとかする	钱的话我会想办法
日本でだめなら 海外で手術させればいい	如果在日本不能治好的话 在国外做手术也可以
必要の臓器があれば 俺のを使え	需要移植内藏的话 尽管用我的
だから	所以
だから	所以
もう何も出来ないなんて言うなよ	请不要说束手无策了
言わないでくれよ	请你不要这么说啊
冠葉	冠叶
助けってやてください	请你救救她
どんな犠牲でも払う	无论要做出什么牺牲我都愿意
俺の命と引き換えでもいい	哪怕要用我的命去换也可以
